time,P,G(i),H_sun,T2m,WS10m,Int
2015-01-01 00:00,0,0,0,8.53,4,0
2015-01-01 01:00,0,0,0,8.22,3.59,0
2015-01-01 02:00,0,0,0,7.84,3.1,0
2015-01-01 03:00,0,0,0,7.45,2.62,0
2015-01-01 04:00,0,0,0,6.97,2.28,0
2015-01-01 05:00,0,0,0,6.37,2.07,0
2015-01-01 06:00,0,0,0,5.74,1.79,0
2015-01-01 07:00,0,0,0,5.26,1.66,0
2015-01-01 08:00,0,0,0,4.81,1.66,0
2015-01-01 09:00,181.48,238.28,8.13,5.25,1.66,0
2015-01-01 10:00,417.18,503.72,17.51,8.91,1.38,0
2015-01-01 11:00,592.97,725.31,25.13,11.11,1.45,0
2015-01-01 12:00,711.29,882.21,30.29,11.42,1.72,0
2015-01-01 13:00,768.32,963.66,32.32,11.77,1.79,0
2015-01-01 14:00,767.84,961.34,30.88,11.97,1.93,0
2015-01-01 15:00,705.32,871.8,26.21,11.97,2,0
2015-01-01 16:00,575.26,699.09,18.96,11.85,1.86,0
2015-01-01 17:00,357.22,431.68,9.97,11.56,1.66,0
2015-01-01 18:00,0,0,0,11.25,1.24,0
2015-01-01 19:00,0,0,0,9.99,1.03,0
2015-01-01 20:00,0,0,0,9.39,1.1,0
2015-01-01 21:00,0,0,0,8.56,1.31,0
2015-01-01 22:00,0,0,0,9.34,1.17,0
2015-01-01 23:00,0,0,0,9.98,0.9,0
2015-01-02 00:00,0,0,0,10.56,0.62,0
2015-01-02 01:00,0,0,0,9.24,1.17,0
2015-01-02 02:00,0,0,0,8.43,1.17,0
2015-01-02 03:00,0,0,0,7.96,1.17,0
2015-01-02 04:00,0,0,0,6.69,1.38,0
2015-01-02 05:00,0,0,0,6.08,1.45,0
2015-01-02 06:00,0,0,0,5.54,1.52,0
2015-01-02 07:00,0,0,0,5.34,1.59,0
2015-01-02 08:00,0,0,0,6.27,1.38,0
2015-01-02 09:00,172.46,230.17,8.12,7.48,1.1,0
2015-01-02 10:00,409.97,495.1,17.51,9,1.38,0
2015-01-02 11:00,590.16,715.16,25.16,11.53,2.28,0
2015-01-02 12:00,713.79,873.66,30.35,11.53,2.62,0
2015-01-02 13:00,774.15,954.7,32.4,11.93,2.9,0
2015-01-02 14:00,774.16,953.56,30.98,12.27,3.1,0
2015-01-02 15:00,712.74,867.14,26.33,12.5,3.45,0
2015-01-02 16:00,581.2,695.8,19.09,12.43,3.66,0
2015-01-02 17:00,360.09,430.59,10.11,12.06,3.79,0
2015-01-02 18:00,0,0,0,11.3,4.21,0
2015-01-02 19:00,0,0,0,10.77,4.34,0
2015-01-02 20:00,0,0,0,10.57,4,0
2015-01-02 21:00,0,0,0,10.54,3.59,0
